code,description,start_date,last_modified,notes
N176,"Services provided aboard a ship are covered only when the ship is of United States registry and is in United States waters. In addition, a doctor licensed to practice in the United States must provide the service.",02/28/2003,,
N178,Missing pre-operative images/visual field results.,02/28/2003,11/01/2013,"Modified 8/1/04, 11/1/13"
N179,Additional information has been requested from the member. The charges will be reconsidered upon receipt of that information.,02/28/2003,,
N180,This item or service does not meet the criteria for the category under which it was billed.,02/28/2003,,
N181,Additional information is required from another provider involved in this service.,02/28/2003,12/01/2006,Modified 12/1/06
N182,This claim/service must be billed according to the schedule for this plan.,02/28/2003,,
N184,Rebill technical and professional components separately.,02/28/2003,,
N186,Non-Availability Statement (NAS) required for this service. Contact the nearest Military Treatment Facility (MTF) for assistance.,02/28/2003,,
N188,The approved level of care does not match the procedure code submitted.,02/28/2003,,
N19,Procedure code incidental to primary procedure.,01/01/2000,,
N190,Missing contract indicator.,02/28/2003,08/01/2004,Modified 8/1/04
N191,The provider must update insurance information directly with payer.,02/28/2003,,
N194,Technical component not paid if provider does not own the equipment used.,02/25/2003,,
N195,The technical component must be billed separately.,02/25/2003,,
N197,The subscriber must update insurance information directly with payer.,02/25/2003,,
N198,Rendering provider must be affiliated with the pay-to provider.,02/25/2003,,
N199,Additional payment/recoupment approved based on payer-initiated review/audit.,02/25/2003,08/01/2006,Modified 8/1/06
N2,This allowance has been made in accordance with the most appropriate course of treatment provision of the plan.,01/01/2000,,
N20,Service not payable with other service rendered on the same date.,01/01/2000,,
N200,The professional component must be billed separately.,02/25/2003,,
N203,Missing/incomplete/invalid anesthesia time/units.,06/30/2003,03/14/2014,Modified 3/14/2014
N204,Services under review for possible pre-existing condition. Send medical records for prior 12 months,06/30/2003,,
N205,Information provided was illegible.,06/30/2003,03/14/2014,Modified 3/14/2014
N206,The supporting documentation does not match the information sent on the claim.,06/30/2003,03/06/2012,Modified 3/6/12
N207,Missing/incomplete/invalid weight.,06/30/2003,11/18/2005,Modified 11/18/05
N208,Missing/incomplete/invalid DRG code.,06/30/2003,03/14/2014,Modified 3/14/2014
N209,Missing/incomplete/invalid taxpayer identification number (TIN).,06/30/2003,07/01/2008,Modified 7/1/08
N212,Charges processed under a Point of Service benefit.,02/01/2004,03/14/2014,Modified 3/14/2014
N213,Missing/incomplete/invalid facility/discrete unit DRG/DRG exempt status information.,04/01/2004,03/14/2014,Modified 3/14/2014
N214,Missing/incomplete/invalid history of the related initial surgical procedure(s).,04/01/2004,03/14/2014,Modified 3/14/2014
N216,We do not offer coverage for this type of service or the patient is not enrolled in this portion of our benefit package.,04/01/2004,03/14/2014,"Modified 3/1/2010, 3/14/2014"
N217,We pay only one site of service per provider per claim.,08/01/2004,03/14/2014,Modified 3/14/2014
N218,You must furnish and service this item for as long as the patient continues to need it. We can pay for maintenance and/or servicing for the time period specified in the contract or coverage manual.,08/01/2004,,
N219,Payment based on previous payer's allowed amount.,08/01/2004,,
N221,Missing Admitting History and Physical report.,08/01/2004,,
N222,Incomplete/invalid Admitting History and Physical report.,08/01/2004,,
N223,Missing documentation of benefit to the patient during initial treatment period.,08/01/2004,,
N224,Incomplete/invalid documentation of benefit to the patient during initial treatment period.,08/01/2004,,
N226,Incomplete/invalid American Diabetes Association Certificate of Recognition.,08/01/2004,,
N227,Incomplete/invalid Certificate of Medical Necessity.,08/01/2004,,
N228,Incomplete/invalid consent form.,08/01/2004,,
N229,Incomplete/invalid contract indicator.,08/01/2004,,
N230,Incomplete/invalid indication of whether the patient owns the equipment that requires the part or supply.,08/01/2004,,
N231,"Incomplete/invalid invoice or statement certifying the actual cost of the lens, less discounts, and/or the type of intraocular lens used.",08/01/2004,,
N232,Incomplete/invalid itemized bill/statement.,08/01/2004,07/01/2008,Modified 7/1/08
N233,Incomplete/invalid operative note/report.,08/01/2004,07/01/2008,Modified 7/1/08
N234,Incomplete/invalid oxygen certification/re-certification.,08/01/2004,,
N235,Incomplete/invalid pacemaker registration form.,08/01/2004,,
N236,Incomplete/invalid pathology report.,08/01/2004,,
N237,Incomplete/invalid patient medical record for this service.,08/01/2004,,
N238,Incomplete/invalid physician certified plan of care.,08/01/2004,03/14/2014,Modified 3/14/2014
N239,Incomplete/invalid physician financial relationship form.,08/01/2004,,
N24,Missing/incomplete/invalid Electronic Funds Transfer (EFT) banking information.,01/01/2000,02/28/2003,Modified 2/28/03
N240,Incomplete/invalid radiology report.,08/01/2004,,
N241,Incomplete/invalid review organization approval.,08/01/2004,02/29/2008,Modified 2/29/08
N242,Incomplete/invalid radiology film(s)/image(s).,08/01/2004,07/01/2008,Modified 7/1/08
N243,Incomplete/invalid/not approved screening document.,08/01/2004,,
N244,Incomplete/Invalid pre-operative images/visual field results.,08/01/2004,11/01/2013,Modified 11/1/2013
N245,Incomplete/invalid plan information for other insurance.,08/01/2004,03/14/2014,Modified 3/14/2014
N246,State regulated patient payment limitations apply to this service.,12/02/2004,,
N247,Missing/incomplete/invalid assistant surgeon taxonomy.,12/02/2004,,
N248,Missing/incomplete/invalid assistant surgeon name.,12/02/2004,,
N249,Missing/incomplete/invalid assistant surgeon primary identifier.,12/02/2004,,
N25,This company has been contracted by your benefit plan to provide administrative claims payment services only. This company does not assume financial risk or obligation with respect to claims processed on behalf of your benefit plan.,01/01/2000,,
N250,Missing/incomplete/invalid assistant surgeon secondary identifier.,12/02/2004,,
N251,Missing/incomplete/invalid attending provider taxonomy.,12/02/2004,,
N252,Missing/incomplete/invalid attending provider name.,12/02/2004,,
N253,Missing/incomplete/invalid attending provider primary identifier.,12/02/2004,,
N254,Missing/incomplete/invalid attending provider secondary identifier.,12/02/2004,,
N255,Missing/incomplete/invalid billing provider taxonomy.,12/02/2004,,
N256,Missing/incomplete/invalid billing provider/supplier name.,12/02/2004,,
N257,Missing/incomplete/invalid billing provider/supplier primary identifier.,12/02/2004,,
N258,Missing/incomplete/invalid billing provider/supplier address.,12/02/2004,,
N259,Missing/incomplete/invalid billing provider/supplier secondary identifier.,12/02/2004,,
N26,Missing itemized bill/statement.,01/01/2000,07/01/2008,"Modified 2/28/03, 7/1/2008"
N260,Missing/incomplete/invalid billing provider/supplier contact information.,12/02/2004,,
N261,Missing/incomplete/invalid operating provider name.,12/02/2004,,
N262,Missing/incomplete/invalid operating provider primary identifier.,12/02/2004,,
N263,Missing/incomplete/invalid operating provider secondary identifier.,12/02/2004,,
N264,Missing/incomplete/invalid ordering provider name.,12/02/2004,,
N265,Missing/incomplete/invalid ordering provider primary identifier.,12/02/2004,,
N266,Missing/incomplete/invalid ordering provider address.,12/02/2004,,
N267,Missing/incomplete/invalid ordering provider secondary identifier.,12/02/2004,,
N268,Missing/incomplete/invalid ordering provider contact information.,12/02/2004,,
N269,Missing/incomplete/invalid other provider name.,12/02/2004,,
N27,Missing/incomplete/invalid treatment number.,01/01/2000,02/28/2003,Modified 2/28/03
N270,Missing/incomplete/invalid other provider primary identifier.,12/02/2004,,
N271,Missing/incomplete/invalid other provider secondary identifier.,12/02/2004,,
N272,Missing/incomplete/invalid other payer attending provider identifier.,12/02/2004,,
N273,Missing/incomplete/invalid other payer operating provider identifier.,12/02/2004,,
N274,Missing/incomplete/invalid other payer other provider identifier.,12/02/2004,,
N275,Missing/incomplete/invalid other payer purchased service provider identifier.,12/02/2004,,
N276,Missing/incomplete/invalid other payer referring provider identifier.,12/02/2004,,
N277,Missing/incomplete/invalid other payer rendering provider identifier.,12/02/2004,,
N278,Missing/incomplete/invalid other payer service facility provider identifier.,12/02/2004,,
N279,Missing/incomplete/invalid pay-to provider name.,12/02/2004,,
N28,Consent form requirements not fulfilled.,01/01/2000,,
N280,Missing/incomplete/invalid pay-to provider primary identifier.,12/02/2004,,
N281,Missing/incomplete/invalid pay-to provider address.,12/02/2004,,
N282,Missing/incomplete/invalid pay-to provider secondary identifier.,12/02/2004,,
N283,Missing/incomplete/invalid purchased service provider identifier.,12/02/2004,,
N284,Missing/incomplete/invalid referring provider taxonomy.,12/02/2004,,
N285,Missing/incomplete/invalid referring provider name.,12/02/2004,,
N286,Missing/incomplete/invalid referring provider primary identifier.,12/02/2004,,
N287,Missing/incomplete/invalid referring provider secondary identifier.,12/02/2004,,
N288,Missing/incomplete/invalid rendering provider taxonomy.,12/02/2004,,
N289,Missing/incomplete/invalid rendering provider name.,12/02/2004,,
N290,Missing/incomplete/invalid rendering provider primary identifier.,12/02/2004,,
N291,Missing/incomplete/invalid rendering provider secondary identifier.,12/02/2004,11/01/2010,
N292,Missing/incomplete/invalid service facility name.,12/02/2004,,
N293,Missing/incomplete/invalid service facility primary identifier.,12/02/2004,,
N294,Missing/incomplete/invalid service facility primary address.,12/02/2004,,
N295,Missing/incomplete/invalid service facility secondary identifier.,12/02/2004,,
N296,Missing/incomplete/invalid supervising provider name.,12/02/2004,,
N297,Missing/incomplete/invalid supervising provider primary identifier.,12/02/2004,,
N298,Missing/incomplete/invalid supervising provider secondary identifier.,12/02/2004,,
N299,Missing/incomplete/invalid occurrence date(s).,12/02/2004,,
N3,Missing consent form.,01/01/2000,02/28/2003,Modified 2/28/03
N30,Patient ineligible for this service.,01/01/2000,06/30/2003,Modified 6/30/03
N300,Missing/incomplete/invalid occurrence span date(s).,12/02/2004,,
N301,Missing/incomplete/invalid procedure date(s).,12/02/2004,,
N302,Missing/incomplete/invalid other procedure date(s).,12/02/2004,,
N303,Missing/incomplete/invalid principal procedure date.,12/02/2004,,
N304,Missing/incomplete/invalid dispensed date.,12/02/2004,,
N305,Missing/incomplete/invalid injury/accident date.,12/02/2004,11/01/2016,Modified 11/1/2016
N306,Missing/incomplete/invalid acute manifestation date.,12/02/2004,,
N307,Missing/incomplete/invalid adjudication or payment date.,12/02/2004,,
N308,Missing/incomplete/invalid appliance placement date.,12/02/2004,,
N309,Missing/incomplete/invalid assessment date.,12/02/2004,,
N31,Missing/incomplete/invalid prescribing provider identifier.,01/01/2000,12/02/2004,Modified 12/2/04
N310,Missing/incomplete/invalid assumed or relinquished care date.,12/02/2004,,
N311,Missing/incomplete/invalid authorized to return to work date.,12/02/2004,,
N312,Missing/incomplete/invalid begin therapy date.,12/02/2004,,
N313,Missing/incomplete/invalid certification revision date.,12/02/2004,,
N314,Missing/incomplete/invalid diagnosis date.,12/02/2004,,
N315,Missing/incomplete/invalid disability from date.,12/02/2004,,
N316,Missing/incomplete/invalid disability to date.,12/02/2004,,
N317,Missing/incomplete/invalid discharge hour.,12/02/2004,,
N318,Missing/incomplete/invalid discharge or end of care date.,12/02/2004,,
N319,Missing/incomplete/invalid hearing or vision prescription date.,12/02/2004,,
N32,Claim must be submitted by the provider who rendered the service.,01/01/2000,06/30/2003,Modified 6/30/03
N320,Missing/incomplete/invalid Home Health Certification Period.,12/02/2004,,
N321,Missing/incomplete/invalid last admission period.,12/02/2004,,
N322,Missing/incomplete/invalid last certification date.,12/02/2004,,
N323,Missing/incomplete/invalid last contact date.,12/02/2004,,
N324,Missing/incomplete/invalid last seen/visit date.,12/02/2004,,
N325,Missing/incomplete/invalid last worked date.,12/02/2004,,
N326,Missing/incomplete/invalid last x-ray date.,12/02/2004,,
N327,Missing/incomplete/invalid other insured birth date.,12/02/2004,,
N328,Missing/incomplete/invalid Oxygen Saturation Test date.,12/02/2004,,
N329,Missing/incomplete/invalid patient birth date.,12/02/2004,,
N33,No record of health check prior to initiation of treatment.,01/01/2000,,
N330,Missing/incomplete/invalid patient death date.,12/02/2004,,
N331,Missing/incomplete/invalid physician order date.,12/02/2004,,
N332,Missing/incomplete/invalid prior hospital discharge date.,12/02/2004,,
N333,Missing/incomplete/invalid prior placement date.,12/02/2004,,
N334,Missing/incomplete/invalid re-evaluation date.,12/02/2004,03/14/2014,Modified 3/14/2014
N335,Missing/incomplete/invalid referral date.,12/02/2004,,
N336,Missing/incomplete/invalid replacement date.,12/02/2004,,
N337,Missing/incomplete/invalid secondary diagnosis date.,12/02/2004,,
N338,Missing/incomplete/invalid shipped date.,12/02/2004,,
N339,Missing/incomplete/invalid similar illness or symptom date.,12/02/2004,,
N34,Incorrect claim form/format for this service.,01/01/2000,11/18/2005,Modified 11/18/05
N340,Missing/incomplete/invalid subscriber birth date.,12/02/2004,,
N341,Missing/incomplete/invalid surgery date.,12/02/2004,,
N342,Missing/incomplete/invalid test performed date.,12/02/2004,,
N343,Missing/incomplete/invalid Transcutaneous Electrical Nerve Stimulator (TENS) trial start date.,12/02/2004,,
N344,Missing/incomplete/invalid Transcutaneous Electrical Nerve Stimulator (TENS) trial end date.,12/02/2004,,
N345,Date range not valid with units submitted.,03/30/2005,,
N346,Missing/incomplete/invalid oral cavity designation code.,03/30/2005,,
N347,Your claim for a referred or purchased service cannot be paid because payment has already been made for this same service to another provider by a payment contractor representing the payer.,03/30/2005,,
N348,You chose that this service/supply/drug would be rendered/supplied and billed by a different practitioner/supplier.,08/01/2005,,
N349,The administration method and drug must be reported to adjudicate this service.,08/01/2005,,
N35,Program integrity/utilization review decision.,01/01/2000,,
N350,Missing/incomplete/invalid description of service for a Not Otherwise Classified (NOC) code or for an Unlisted/By Report procedure.,08/01/2005,07/01/2008,Modified 7/1/08
N351,Service date outside of the approved treatment plan service dates.,08/01/2005,,
N354,Incomplete/invalid invoice.,08/01/2005,03/14/2014,Modified 3/14/2014
N356,"Not covered when performed with, or subsequent to, a non-covered service.",08/01/2005,03/08/2011,Modified 3/8/11
N357,Time frame requirements between this service/procedure/supply and a related service/procedure/supply have not been met.,11/18/2005,,
N359,Missing/incomplete/invalid height.,11/18/2005,,
N36,Claim must meet primary payer's processing requirements before we can consider payment.,01/01/2000,,
N362,The number of Days or Units of Service exceeds our acceptable maximum.,11/18/2005,,
N366,Requested information not provided. The claim will be reopened if the information previously requested is submitted within one year after the date of this denial notice.,04/01/2006,,
N368,You must appeal the determination of the previously adjudicated claim.,04/01/2006,,
N37,Missing/incomplete/invalid tooth number/letter.,01/01/2000,02/28/2003,Modified 2/28/03
N370,Billing exceeds the rental months covered/approved by the payer.,08/01/2006,,
N372,Only reasonable and necessary maintenance/service charges are covered.,08/01/2006,,
N373,"It has been determined that another payer paid the services as primary when they were not the primary payer. Therefore, we are refunding to the payer that paid as primary on your behalf.",12/01/2006,,
N374,Primary Medicare Part A insurance has been exhausted and a Part B Remittance Advice is required.,12/01/2006,,
N375,Missing/incomplete/invalid questionnaire/information required to determine dependent eligibility.,12/01/2006,,
N376,"Subscriber/patient is assigned to active military duty, therefore primary coverage may be TRICARE.",12/01/2006,,
N377,Payment based on a processed replacement claim.,12/01/2006,11/05/2007,Modified 11/5/07
N378,Missing/incomplete/invalid prescription quantity.,12/01/2006,,
N379,Claim level information does not match line level information.,12/01/2006,,
N380,"The original claim has been processed, submit a corrected claim.",04/01/2007,,
N382,Missing/incomplete/invalid patient identifier.,04/01/2007,,
N383,Not covered when deemed cosmetic.,04/01/2007,03/08/2011,Modified 3/8/11
N384,Records indicate that the referenced body part/tooth has been removed in a previous procedure.,04/01/2007,,
N385,Notification of admission was not timely according to published plan procedures.,04/01/2007,11/05/2007,Modified 11/5/07
N386,This decision was based on a National Coverage Determination (NCD). An NCD provides a coverage determination as to whether a particular item or service is covered. Visit CMS.gov and search for Medicare Coverage Database to find a copy of the policy.,04/01/2007,03/01/2026,Modified 03/01/2026
N388,Missing/incomplete/invalid prescription number.,08/01/2007,03/14/2014,Modified 3/14/2014
N389,Duplicate prescription number submitted.,08/01/2007,,
N39,Procedure code is not compatible with tooth number/letter.,01/01/2000,,
N390,This service/report cannot be billed separately.,08/01/2007,07/01/2008,Modified 7/1/08
N391,Missing emergency department records.,08/01/2007,,
N392,Incomplete/invalid emergency department records.,08/01/2007,,
N393,Missing progress notes/report.,08/01/2007,07/01/2008,Modified 7/1/08
N394,Incomplete/invalid progress notes/report.,08/01/2007,07/01/2008,Modified 7/1/08
N395,Missing laboratory report.,08/01/2007,,
N396,Incomplete/invalid laboratory report.,08/01/2007,,
N397,Benefits are not available for incomplete service(s)/undelivered item(s).,08/01/2007,,
N398,Missing elective consent form.,08/01/2007,,
N399,Incomplete/invalid elective consent form.,08/01/2007,,
N4,Missing/Incomplete/Invalid prior Insurance Carrier(s) EOB.,01/01/2000,03/06/2012,"Modified 2/28/03, 3/6/2012"
N40,Missing radiology film(s)/image(s).,01/01/2000,07/01/2008,"Modified 2/1/04, 7/1/08"
N401,Missing periodontal charting.,08/01/2007,,
N402,Incomplete/invalid periodontal charting.,08/01/2007,,
N403,Missing facility certification.,08/01/2007,,
N404,Incomplete/invalid facility certification.,08/01/2007,,
N405,This service is only covered when the donor's insurer(s) do not provide coverage for the service.,08/01/2007,,
N406,This service is only covered when the recipient's insurer(s) do not provide coverage for the service.,08/01/2007,,
N407,You are not an approved submitter for this transmission format.,08/01/2007,,
N408,This payer does not cover deductibles assessed by a previous payer.,08/01/2007,,
N409,This service is related to an accidental injury and is not covered unless provided within a specific time frame from the date of the accident.,08/01/2007,,
N410,Not covered unless the prescription changes.,08/01/2007,03/08/2011,Modified 3/8/11
N411,This service is allowed one time in a 6-month period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N412,This service is allowed 2 times in a 12-month period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N413,This service is allowed 2 times in a benefit year.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N414,This service is allowed 4 times in a 12-month period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N415,This service is allowed 1 time in an 18-month period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N416,This service is allowed 1 time in a 3-year period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N417,This service is allowed 1 time in a 5-year period.,08/01/2007,07/01/2016,"Modified 2/1/2009, Reactivated 7/1/2016"
N418,Misrouted claim. See the payer's claim submission instructions.,08/01/2007,,
N419,Claim payment was the result of a payer's retroactive adjustment due to a retroactive rate change.,08/01/2007,,
N42,Missing mental health assessment.,01/01/2000,11/01/2014,
N420,Claim payment was the result of a payer's retroactive adjustment due to a Coordination of Benefits or Third Party Liability Recovery.,08/01/2007,,
N421,Claim payment was the result of a payer's retroactive adjustment due to a review organization decision.,08/01/2007,05/08/2008,"Modified 2/29/08, typo fixed 5/8/08"
N422,Claim payment was the result of a payer's retroactive adjustment due to a payer's contract incentive program.,08/01/2007,05/08/2008,Typo fixed 5/8/08
N423,Claim payment was the result of a payer's retroactive adjustment due to a non standard program.,08/01/2007,,
N424,Patient does not reside in the geographic area required for this type of payment.,08/01/2007,,
N425,Statutorily excluded service(s).,08/01/2007,,
N426,No coverage when self-administered.,08/01/2007,,
N427,Payment for eyeglasses or contact lenses can be made only after cataract surgery.,08/01/2007,,
N428,Not covered when performed in this place of service.,08/01/2007,03/08/2011,Modified 3/8/11
N429,Not covered when considered routine.,08/01/2007,03/08/2011,Modified 3/8/11
N43,Bed hold or leave days exceeded.,01/01/2000,,
N430,Procedure code is inconsistent with the units billed.,11/05/2007,,
N431,Not covered with this procedure.,11/05/2007,03/08/2011,Modified 3/8/11
N433,Resubmit this claim using only your National Provider Identifier (NPI).,02/29/2008,03/14/2014,Modified 3/14/2014
N434,Missing/Incomplete/Invalid Present on Admission indicator.,07/01/2008,,
N435,Exceeds number/frequency approved /allowed within time period without support documentation.,07/01/2008,,
N436,The injury claim has not been accepted and a mandatory medical reimbursement has been made.,07/01/2008,,
N438,This jurisdiction only accepts paper claims.,07/01/2008,03/14/2014,Modified 3/14/2014
N439,Missing anesthesia physical status report/indicators.,07/01/2008,,
N440,Incomplete/invalid anesthesia physical status report/indicators.,07/01/2008,,
N441,This missed/cancelled appointment is not covered.,07/01/2008,07/15/2013,Modified 7/15/2013
N442,Payment based on an alternate fee schedule.,07/01/2008,,
N443,Missing/incomplete/invalid total time or begin/end time.,07/01/2008,,
N445,Missing document for actual cost or paid amount.,07/01/2008,,
N446,Incomplete/invalid document for actual cost or paid amount.,07/01/2008,,
N447,Payment is based on a generic equivalent as required documentation was not provided.,07/01/2008,,
N448,This drug/service/supply is not included in the fee schedule or contracted/legislated fee arrangement.,07/01/2008,03/14/2014,Modified 3/14/2014
N449,Payment based on a comparable drug/service/supply.,07/01/2008,,
N45,Payment based on authorized amount.,01/01/2000,,
N450,Covered only when performed by the primary treating physician or the designee.,07/01/2008,,
N451,Missing Admission Summary Report.,07/01/2008,,
N452,Incomplete/invalid Admission Summary Report.,07/01/2008,,
N453,Missing Consultation Report.,07/01/2008,,
N454,Incomplete/invalid Consultation Report.,07/01/2008,,
N455,Missing Physician Order.,07/01/2008,,
N456,Incomplete/invalid Physician Order.,07/01/2008,,
N457,Missing Diagnostic Report.,07/01/2008,,
N458,Incomplete/invalid Diagnostic Report.,07/01/2008,,
N459,Missing Discharge Summary.,07/01/2008,,
N46,Missing/incomplete/invalid admission hour.,01/01/2000,,
N460,Incomplete/invalid Discharge Summary.,07/01/2008,,
N461,Missing Nursing Notes.,07/01/2008,,
N462,Incomplete/invalid Nursing Notes.,07/01/2008,,
N463,Missing support data for claim.,07/01/2008,,
N464,Incomplete/invalid support data for claim.,07/01/2008,,
N465,Missing Physical Therapy Notes/Report.,07/01/2008,,
N466,Incomplete/invalid Physical Therapy Notes/Report.,07/01/2008,,
N467,Missing Tests and Analysis Report.,07/01/2008,03/14/2014,Modified 3/14/2014
N468,Incomplete/invalid Report of Tests and Analysis Report.,07/01/2008,,
N47,Claim conflicts with another inpatient stay.,01/01/2000,,
N470,This payment will complete the mandatory medical reimbursement limit.,07/01/2008,,
N471,Missing/incomplete/invalid HIPPS Rate Code.,07/01/2008,,
N472,Payment for this service has been issued to another provider.,07/01/2008,,
N473,Missing certification.,07/01/2008,,
N474,Incomplete/invalid certification.,07/01/2008,03/14/2014,Modified 3/14/2014
N475,Missing completed referral form.,07/01/2008,,
N476,Incomplete/invalid completed referral form.,07/01/2008,03/14/2014,Modified 3/14/2014
N477,Missing Dental Models.,07/01/2008,,
N478,Incomplete/invalid Dental Models.,07/01/2008,03/14/2014,Modified 3/14/2014
N479,Missing Explanation of Benefits (Coordination of Benefits or Medicare Secondary Payer).,07/01/2008,,
N48,Claim information does not agree with information received from other insurance carrier.,01/01/2000,,
N480,Incomplete/invalid Explanation of Benefits (Coordination of Benefits or Medicare Secondary Payer).,07/01/2008,,
N481,Missing Models.,07/01/2008,,
N482,Incomplete/invalid Models.,07/01/2008,03/14/2014,Modified 3/14/2014
N485,Missing Physical Therapy Certification.,07/01/2008,,
N486,Incomplete/invalid Physical Therapy Certification.,07/01/2008,,
N487,Missing Prosthetics or Orthotics Certification.,07/01/2008,,
N488,Incomplete/invalid Prosthetics or Orthotics Certification.,07/01/2008,03/14/2014,Modified 3/14/2014
N489,Missing referral form.,07/01/2008,,
N49,Court ordered coverage information needs validation.,01/01/2000,,
N490,Incomplete/invalid referral form.,07/01/2008,03/14/2014,Modified 3/14/2014
N491,Missing/Incomplete/Invalid Exclusionary Rider Condition.,07/01/2008,,
N493,Missing Doctor First Report of Injury.,07/01/2008,,
N494,Incomplete/invalid Doctor First Report of Injury.,07/01/2008,,
N495,Missing Supplemental Medical Report.,07/01/2008,,
N496,Incomplete/invalid Supplemental Medical Report.,07/01/2008,,
N497,Missing Medical Permanent Impairment or Disability Report.,07/01/2008,,
N498,Incomplete/invalid Medical Permanent Impairment or Disability Report.,07/01/2008,,
N499,Missing Medical Legal Report.,07/01/2008,,
N5,EOB received from previous payer. Claim not on file.,01/01/2000,,
N50,Missing/incomplete/invalid discharge information.,01/01/2000,02/28/2003,Modified 2/28/03
N500,Incomplete/invalid Medical Legal Report.,07/01/2008,,
N501,Missing Vocational Report.,07/01/2008,,
N502,Incomplete/invalid Vocational Report.,07/01/2008,,
N503,Missing Work Status Report.,07/01/2008,,
N504,Incomplete/invalid Work Status Report.,07/01/2008,,
N507,Plan distance requirements have not been met.,11/01/2008,,
N51,Electronic interchange agreement not on file for provider/submitter.,01/01/2000,,
N516,Records indicate a mismatch between the submitted NPI and EIN.,03/01/2009,,
N517,Resubmit a new claim with the requested information.,03/01/2009,,
N518,No separate payment for accessories when furnished for use with oxygen equipment.,03/01/2009,,
N519,Invalid combination of HCPCS modifiers.,07/01/2009,,
N52,Patient not enrolled in the billing provider's managed care plan on the date of service.,01/01/2000,,
N521,Mismatch between the submitted provider information and the provider information stored in our system.,11/01/2009,,
N522,"Duplicate of a claim processed, or to be processed, as a crossover claim.",11/01/2009,03/01/2010,
N523,The limitation on outlier payments defined by this payer for this service period has been met. The outlier payment otherwise applicable to this claim has not been paid.,03/01/2010,,
N524,Based on policy this payment constitutes payment in full.,03/01/2010,,
N525,These services are not covered when performed within the global period of another service.,03/01/2010,,
N526,Not qualified for recovery based on employer size.,03/01/2010,,
N527,We processed this claim as the primary payer prior to receiving the recovery demand.,03/01/2010,,
N528,Patient is entitled to benefits for Institutional Services only.,03/01/2010,07/01/2010,Modified 7/1/10
N529,Patient is entitled to benefits for Professional Services only.,03/01/2010,07/01/2010,Modified 7/1/10
N53,Missing/incomplete/invalid point of pick-up address.,01/01/2000,02/28/2003,Modified 2/28/03
N530,Not Qualified for Recovery based on enrollment information.,03/01/2010,07/01/2010,Modified 7/1/10
N531,Not qualified for recovery based on direct payment of premium.,03/01/2010,,
N532,Not qualified for recovery based on disability and working status.,03/01/2010,,
N533,Services performed in an Indian Health Services facility under a self-insured tribal Group Health Plan.,07/01/2010,,
N534,"This is an individual policy, the employer does not participate in plan sponsorship.",07/01/2010,,
N535,Payment is adjusted when procedure is performed in this place of service based on the submitted procedure code and place of service.,07/01/2010,,
N536,"We are not changing the prior payer's determination of patient responsibility, which you may collect, as this service is not covered by us.",07/01/2010,,
N537,We have examined claims history and no records of the services have been found.,07/01/2010,,
N538,A facility is responsible for payment to outside providers who furnish these services/supplies/drugs to its patients/residents.,07/01/2010,,
N54,Claim information is inconsistent with pre-certified/authorized services.,01/01/2000,,
N540,Payment adjusted based on the interrupted stay policy.,11/01/2010,,
N541,Mismatch between the submitted insurance type code and the information stored in our system.,11/01/2010,,
N542,Missing income verification.,03/08/2011,,
N543,Incomplete/invalid income verification.,03/08/2011,03/14/2014,Modified 3/14/2014
N545,Payment reduced based on status as an unsuccessful eprescriber per the Electronic Prescribing (eRx) Incentive Program.,07/01/2011,,
N546,Payment represents a previous reduction based on the Electronic Prescribing (eRx) Incentive Program.,07/01/2011,,
N547,A refund request (Frequency Type Code 8) was processed previously.,03/06/2012,,
N55,Procedures for billing with group/referring/performing providers were not followed.,01/01/2000,,
N551,Payment adjusted based on the Ambulatory Surgical Center (ASC) Quality Reporting Program.,03/06/2012,,
N552,Payment adjusted to reverse a previous withhold/bonus amount.,03/06/2012,,
N554,Missing/Incomplete/Invalid Family Planning Indicator.,07/01/2012,03/14/2014,Modified 3/14/2014
N555,Missing medication list.,07/01/2012,,
N556,Incomplete/invalid medication list.,07/01/2012,,
N557,This claim/service is not payable under our service area. The claim must be filed to the Payer/Plan in whose service area the specimen was collected.,07/01/2012,,
N558,This claim/service is not payable under our service area. The claim must be filed to the Payer/Plan in whose service area the equipment was received.,07/01/2012,,
N559,This claim/service is not payable under our service area. The claim must be filed to the Payer/Plan in whose service area the Ordering Physician is located.,07/01/2012,,
N56,Procedure code billed is not correct/valid for the services billed or the date of service billed.,01/01/2000,02/28/2003,Modified 2/28/03
N560,The pilot program requires an interim or final claim within 60 days of the Notice of Admission. A claim was not received.,11/01/2012,,
N561,The bundled claim originally submitted for this episode of care includes related readmissions. You may resubmit the original claim to receive a corrected payment based on this readmission.,11/01/2012,,
N562,The provider number of your incoming claim does not match the provider number on the processed Notice of Admission (NOA) for this bundled payment.,11/01/2012,,
N564,Patient did not meet the inclusion criteria for the demonstration project or pilot program.,11/01/2012,,
